(reinforcement) C:\Users\Kelvin\Desktop\reinforcement learning\Chapter 11>python .\a3c_data_parallelism.py --cuda -n final
274950: done 269 games, mean reward -20.350, speed 1.00 f/s
275134: done 270 games, mean reward -20.340, speed 157.06 f/s
276486: done 271 games, mean reward -20.340, speed 111.39 f/s
276486: done 272 games, mean reward -20.370, speed 0.00 f/s
276611: done 273 games, mean reward -20.360, speed 111.14 f/s
278088: done 274 games, mean reward -20.370, speed 121.53 f/s
278407: done 275 games, mean reward -20.360, speed 99.13 f/s
278661: done 276 games, mean reward -20.380, speed 117.83 f/s
279174: done 277 games, mean reward -20.390, speed 116.45 f/s
279942: done 278 games, mean reward -20.400, speed 116.78 f/s
281095: done 279 games, mean reward -20.390, speed 115.69 f/s
281939: done 280 games, mean reward -20.410, speed 126.53 f/s
282374: done 281 games, mean reward -20.420, speed 101.63 f/s
282758: done 282 games, mean reward -20.430, speed 114.33 f/s
285062: done 283 games, mean reward -20.400, speed 115.68 f/s
285519: done 284 games, mean reward -20.380, speed 132.38 f/s
286284: done 285 games, mean reward -20.400, speed 115.23 f/s
286410: done 286 games, mean reward -20.400, speed 116.90 f/s
289144: done 287 games, mean reward -20.380, speed 116.52 f/s
289219: done 288 games, mean reward -20.390, speed 71.66 f/s
289489: done 289 games, mean reward -20.380, speed 118.38 f/s
291133: done 290 games, mean reward -20.370, speed 114.52 f/s
291847: done 291 games, mean reward -20.370, speed 108.82 f/s
292999: done 292 games, mean reward -20.350, speed 115.95 f/s
293449: done 293 games, mean reward -20.350, speed 132.14 f/s
294646: done 294 games, mean reward -20.350, speed 118.62 f/s
297094: done 295 games, mean reward -20.370, speed 110.88 f/s
297735: done 296 games, mean reward -20.360, speed 115.91 f/s
299012: done 297 games, mean reward -20.370, speed 113.85 f/s
299141: done 298 games, mean reward -20.350, speed 117.97 f/s
300295: done 299 games, mean reward -20.340, speed 115.48 f/s
301446: done 300 games, mean reward -20.340, speed 114.60 f/s
303621: done 301 games, mean reward -20.330, speed 113.97 f/s
304556: done 302 games, mean reward -20.340, speed 117.36 f/s
306303: done 303 games, mean reward -20.340, speed 119.35 f/s
306530: done 304 games, mean reward -20.360, speed 105.30 f/s
