(reinforcement) C:\Users\Kelvin\Desktop\reinforcement learning\Chapter 11>python .\a3c_grad.py.py --cuda -n final
68320: done 67 games, mean reward -20.328, speed 50.62 f/s
68713: done 65 games, mean reward -20.215, speed 55.12 f/s
69045: done 68 games, mean reward -20.324, speed 55.52 f/s
69176: done 69 games, mean reward -20.333, speed 55.54 f/s
69327: done 66 games, mean reward -20.227, speed 53.19 f/s
69333: done 67 games, mean reward -20.224, speed 64.01 f/s
69474: done 67 games, mean reward -20.284, speed 54.85 f/s
69587: done 68 games, mean reward -20.338, speed 53.93 f/s
69609: done 69 games, mean reward -20.348, speed 100.59 f/s
69653: done 68 games, mean reward -20.235, speed 55.07 f/s
69762: done 68 games, mean reward -20.294, speed 51.07 f/s
69796: done 70 games, mean reward -20.357, speed 55.42 f/s
69869: done 69 games, mean reward -20.290, speed 74.45 f/s
70250: done 70 games, mean reward -20.343, speed 54.14 f/s
70478: done 69 games, mean reward -20.217, speed 54.33 f/s
70481: done 71 games, mean reward -20.352, speed 53.48 f/s
70498: done 70 games, mean reward -20.286, speed 53.90 f/s
70612: done 71 games, mean reward -20.352, speed 52.91 f/s
70781: done 70 games, mean reward -20.229, speed 60.43 f/s
71054: done 71 games, mean reward -20.239, speed 49.37 f/s
71135: done 71 games, mean reward -20.296, speed 54.37 f/s
71280: done 72 games, mean reward -20.333, speed 56.27 f/s
71392: done 72 games, mean reward -20.292, speed 55.02 f/s
71441: done 73 games, mean reward -20.342, speed 47.94 f/s
72100: done 72 games, mean reward -20.347, speed 55.64 f/s
72820: done 74 games, mean reward -20.351, speed 56.33 f/s
72884: done 73 games, mean reward -20.342, speed 55.33 f/s
72940: done 72 games, mean reward -20.236, speed 55.66 f/s
73198: done 73 games, mean reward -20.288, speed 55.66 f/s
73950: done 73 games, mean reward -20.205, speed 54.69 f/s
74320: done 74 games, mean reward -20.216, speed 53.35 f/s
74517: done 74 games, mean reward -20.270, speed 54.09 f/s
75035: done 74 games, mean reward -20.338, speed 54.44 f/s
75387: done 75 games, mean reward -20.333, speed 57.63 f/s
76269: done 75 games, mean reward -20.200, speed 55.43 f/s
76597: done 75 games, mean reward -20.360, speed 54.87 f/s
76908: done 76 games, mean reward -20.368, speed 55.30 f/s
78155: done 76 games, mean reward -20.197, speed 54.24 f/s
78206: done 75 games, mean reward -20.280, speed 55.25 f/s
79065: done 76 games, mean reward -20.250, speed 53.21 f/s
79107: done 77 games, mean reward -20.195, speed 54.34 f/s
