(reinforcement) C:\Users\Kelvin\Desktop\reinforcement learning\Chapter 7>python 03_dqn_double.py --cuda --double
498289: done 287 games, mean reward 12.990, speed 50.56 f/s, eps 0.02
500198: done 288 games, mean reward 13.210, speed 50.68 f/s, eps 0.02
502197: done 289 games, mean reward 13.290, speed 50.10 f/s, eps 0.02
504404: done 290 games, mean reward 13.490, speed 50.41 f/s, eps 0.02
506241: done 291 games, mean reward 13.590, speed 50.32 f/s, eps 0.02
508413: done 292 games, mean reward 13.790, speed 50.41 f/s, eps 0.02
510240: done 293 games, mean reward 13.850, speed 50.47 f/s, eps 0.02
512187: done 294 games, mean reward 13.990, speed 50.49 f/s, eps 0.02
513968: done 295 games, mean reward 14.210, speed 50.39 f/s, eps 0.02
516723: done 296 games, mean reward 14.140, speed 50.81 f/s, eps 0.02
519010: done 297 games, mean reward 14.120, speed 50.57 f/s, eps 0.02
521476: done 298 games, mean reward 14.190, speed 50.69 f/s, eps 0.02
523166: done 299 games, mean reward 14.520, speed 50.44 f/s, eps 0.02
525033: done 300 games, mean reward 14.580, speed 50.59 f/s, eps 0.02
526920: done 301 games, mean reward 14.610, speed 50.42 f/s, eps 0.02
528701: done 302 games, mean reward 14.790, speed 50.00 f/s, eps 0.02
530387: done 303 games, mean reward 14.890, speed 50.64 f/s, eps 0.02
532765: done 304 games, mean reward 15.080, speed 50.65 f/s, eps 0.02
534458: done 305 games, mean reward 15.110, speed 49.82 f/s, eps 0.02
536670: done 306 games, mean reward 15.070, speed 50.68 f/s, eps 0.02
539240: done 307 games, mean reward 14.980, speed 50.25 f/s, eps 0.02
541146: done 308 games, mean reward 15.130, speed 50.95 f/s, eps 0.02
543206: done 309 games, mean reward 15.150, speed 50.43 f/s, eps 0.02
545064: done 310 games, mean reward 15.550, speed 50.53 f/s, eps 0.02
547056: done 311 games, mean reward 15.740, speed 50.37 f/s, eps 0.02
548906: done 312 games, mean reward 15.790, speed 50.80 f/s, eps 0.02
551908: done 313 games, mean reward 15.740, speed 49.99 f/s, eps 0.02
554018: done 314 games, mean reward 15.730, speed 50.46 f/s, eps 0.02
556205: done 315 games, mean reward 15.730, speed 50.60 f/s, eps 0.02
558123: done 316 games, mean reward 15.760, speed 50.67 f/s, eps 0.02
560058: done 317 games, mean reward 15.880, speed 50.71 f/s, eps 0.02
562176: done 318 games, mean reward 15.890, speed 51.97 f/s, eps 0.02
564014: done 319 games, mean reward 15.900, speed 52.25 f/s, eps 0.02
565765: done 320 games, mean reward 15.930, speed 52.11 f/s, eps 0.02
567712: done 321 games, mean reward 15.900, speed 52.13 f/s, eps 0.02
569530: done 322 games, mean reward 15.910, speed 51.52 f/s, eps 0.02
571485: done 323 games, mean reward 15.900, speed 52.13 f/s, eps 0.02
573306: done 324 games, mean reward 15.910, speed 51.87 f/s, eps 0.02
575069: done 325 games, mean reward 16.110, speed 52.45 f/s, eps 0.02
576991: done 326 games, mean reward 16.090, speed 52.38 f/s, eps 0.02
579341: done 327 games, mean reward 16.060, speed 52.22 f/s, eps 0.02
581590: done 328 games, mean reward 16.020, speed 52.41 f/s, eps 0.02
583415: done 329 games, mean reward 16.030, speed 52.11 f/s, eps 0.02
585701: done 330 games, mean reward 15.980, speed 52.42 f/s, eps 0.02
587551: done 331 games, mean reward 15.970, speed 52.11 f/s, eps 0.02
589352: done 332 games, mean reward 15.960, speed 52.05 f/s, eps 0.02
591015: done 333 games, mean reward 16.000, speed 51.90 f/s, eps 0.02
